example_id                                                     | status | run_time        |
./spec/auto_doc/generator/readme_generator_spec.rb[1:1:8:1]    | passed | 0.00038 seconds |
./spec/auto_doc/generator/readme_generator_spec.rb[1:2:1]      | passed | 0.0004 seconds  |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:1:1]       | passed | 0.00069 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:1:2]       | passed | 0.00042 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:1:3]       | passed | 0.00041 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:2:1]       | passed | 0.0004 seconds  |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:2:2]       | passed | 0.00047 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:3:1]       | passed | 0.00045 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:3:2]       | passed | 0.00037 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:1:4:1]       | passed | 0.0004 seconds  |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:2:1]         | passed | 0.00025 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:2:2]         | passed | 0.00023 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:2:3]         | passed | 0.0004 seconds  |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:2:4]         | passed | 0.00025 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:3:1]         | passed | 0.00026 seconds |
./spec/auto_doc/reporter/audit_reporter_spec.rb[1:3:2]         | passed | 0.00028 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:1:1] | passed | 0.00011 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:1:2] | passed | 0.0001 seconds  |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:2:1] | passed | 0.00008 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:3:1] | passed | 0.00009 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:3:2] | passed | 0.00009 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:4:1] | passed | 0.00008 seconds |
./spec/auto_doc/reporter/completeness_checker_spec.rb[1:1:5:1] | passed | 0.00018 seconds |
./spec/auto_doc/server_spec.rb[1:1:1]                          | passed | 0.00875 seconds |
./spec/auto_doc/server_spec.rb[1:1:2]                          | passed | 0.00131 seconds |
./spec/auto_doc/server_spec.rb[1:1:3]                          | passed | 0.00117 seconds |
./spec/auto_doc/server_spec.rb[1:2:1]                          | passed | 0.00116 seconds |
./spec/auto_doc/server_spec.rb[1:2:2]                          | passed | 0.58129 seconds |
./spec/auto_doc/server_spec.rb[1:3:1]                          | passed | 0.00318 seconds |
./spec/auto_doc/server_spec.rb[1:3:2]                          | passed | 0.00181 seconds |
./spec/auto_doc/server_spec.rb[1:4:1]                          | passed | 0.00688 seconds |
./spec/auto_doc/server_spec.rb[1:4:2]                          | passed | 0.00139 seconds |
./spec/auto_doc/server_spec.rb[1:5:1]                          | passed | 0.00164 seconds |
./spec/auto_doc/server_spec.rb[1:6:1]                          | passed | 0.0019 seconds  |
./spec/auto_doc/server_spec.rb[1:6:2]                          | passed | 0.00157 seconds |
./spec/auto_doc/server_spec.rb[1:6:3]                          | passed | 0.00139 seconds |
